"sample1","sample2","Heterogeneous.Selection","Homogeneous.Selection","Dispersal.Limitation","Homogenizing.Dispersal","Drift.and.Others"
"B47","B34",0.00467876298071437,0.0748602076914299,0.460116398493667,0,0.460344630834189
"B54","B34",0.00114116170261326,0.162102019856214,0.440830765719502,0,0.395926052721671
"B55","B34",0.00610521510898094,0.309597169918978,0.318155882688577,0.00730343489672487,0.35883829738674
"B56","B34",0.00216820723496519,0.242496861805318,0.499942941914869,0.0237361634143558,0.231655825630492
"B57","B34",0.00057058085130663,0.123816044733539,0.708547301152573,0.000627638936437293,0.166438434326144
"B64","B34",0.00587698276845829,0.168549583475979,0.466107497432386,0.00302407851192514,0.356441857811252
"B65","B34",0.21687778158165,0.53788656852676,0.0046217048955837,5.7058085130663e-05,0.240556886910875
"B66","B34",0.216820723496519,0.115999087070638,0.491498345315531,5.7058085130663e-05,0.175624786032181
"B67","B34",0,0.103103959831108,0.716193084560082,0.000513522766175967,0.180189432842634
"B36","B35",0.00639050553463426,0.363574118452585,0.232283464566929,0.000285290425653315,0.397466621020199
"B37","B35",0.0026246719160105,0.280725778842862,0.501369394043136,0.000798813191829282,0.214481342006162
"B44","B35",0.0254479059682757,0.417722241241584,0.314618281410476,0.000228232340522652,0.241983339039142
"B45","B35",0.0233938149035718,0.408022366769371,0.332020997375328,0.000228232340522652,0.236334588611206
"B46","B35",0.0111263266004793,0.282665753737305,0.404998288257446,0,0.30120963140477
"B47","B35",0.0026246719160105,0.0477005591692343,0.664441401346571,0,0.285233367568184
"B54","B35",0.0010841036174826,0.334816843546731,0.322035832477462,0,0.342063220358325
"B55","B35",0.0067899121305489,0.467362775305261,0.158279128152459,0.0010841036174826,0.366484080794249
"B56","B35",0.0126668948990072,0.372361063562707,0.336870934611434,0.00176880063905055,0.276332306287801
"B57","B35",0.00148351021339724,0.361805317813534,0.41909163528472,0.00142645212826658,0.216193084560082
"B64","B35",0.00387994978888509,0.313534177792993,0.381775647609266,0.00188291680931188,0.298927307999544
"B65","B35",0,0.0147780440488417,0.435695538057743,0.000342348510783978,0.549184069382632
"B66","B35",0,0.280440488417209,0.496747689147552,0.000114116170261326,0.222697706264978
"B67","B35",0,0.262638365856442,0.520369736391647,0.000741755106698619,0.216250142645213
"B37","B36",0.00456464681045304,0.583019513865115,0.121990186009358,0,0.290425653315075
"B44","B36",0.00119821978774392,0.318669405454753,0.435695538057743,0.0174597740499829,0.226977062649777
"B45","B36",0.0112404427707406,0.313305945452471,0.439575487846628,0.00142645212826658,0.234451671801894
"B46","B36",0.0178591806458975,0.230514663927879,0.517345657879722,0,0.234280497546502
"B47","B36",0.00553463425767431,0.0652173913043478,0.444254250827342,0,0.484993723610636
