"sample1","sample2","Heterogeneous.Selection","Homogeneous.Selection","Dispersal.Limitation","Homogenizing.Dispersal","Drift.and.Others"
"B58","B10",0.0356613032066644,0.434440260184868,0.3596941686637,0.00422229829966906,0.165981969645099
"B59","B10",0.0296131461828141,0.394442542508273,0.265148921602191,0.0445623644870478,0.266233025219674
"B60","B10",0.0249914412872304,0.377553349309597,0.367397010156339,0.0169462512838069,0.213111947963026
"B68","B10",0.00764578340750884,0.241583932443227,0.561679790026247,0.036403058313363,0.152687435809654
"B69","B10",0.00901517745064476,0.0647038685381719,0.403800068469702,0.0250484993723611,0.49743238616912
"B70","B10",0.00764578340750884,0.18327056943969,0.461828141047586,0.0232226406481798,0.324032865457035
"B19","B18",0.0041652402145384,0.267145954581764,0.394899007189319,0.0555745749172658,0.278215223097113
"B20","B18",0,0.255905511811024,0.0934040853588954,0.08347597854616,0.567214424283921
"B28","B18",0.0113545589410019,0.140077598995778,0.494636539997718,0.0240214538400091,0.329909848225494
"B29","B18",0.00211114914983453,0.254536117767888,0.137738217505421,0.00382289170375442,0.601791623873103
"B30","B18",0.00233938149035718,0.192970443911902,0.460002282323405,0.030469017459774,0.314218874814561
"B38","B18",0.0135798242610978,0.193483966678078,0.446080109551523,0.0466735136368823,0.300182585872418
"B39","B18",0.0126098368138765,0.229487618395527,0.46559397466621,0.00770284149263951,0.284605728631747
"B40","B18",0.00564875042793564,0.0223097112860892,0.632317699418008,0.00872988702499144,0.330993951842976
"B48","B18",0.0125527787287459,0.232511696907452,0.155939746662102,0.0686408764121876,0.530354901289513
"B49","B18",0.00924340979116741,0.113203240899235,0.527102590437065,0.0588268857697136,0.291623873102819
"B50","B18",0.0078740157480315,0.109608581536004,0.479915554034007,0.0585415953440602,0.344060253337898
"B58","B18",0.00422229829966906,0.261953668834874,0.445737761040739,0.0373159876754536,0.250770284149264
"B59","B18",0,0.263608353303663,0.422857468903344,0,0.313534177792993
"B60","B18",0.00142645212826658,0.0857583019513865,0.652402145384001,0,0.260413100536346
"B68","B18",0.00302407851192514,0.117311423028643,0.504051124044277,0.00661873787515691,0.368994636539998
"B69","B18",0.00302407851192514,0.107953897067214,0.315588268857697,0.00684697021567956,0.566586785347484
"B70","B18",0.00302407851192514,0.0310395983110807,0.381376241013352,0.00576286659819696,0.578797215565446
"B20","B19",0.0037087755334931,0.293392673741869,0.241983339039142,0.0625927193883373,0.398322492297158
"B28","B19",0.0078740157480315,0.10926623302522,0.452014150405112,0,0.430845600821636
"B29","B19",0.0167180189432843,0.169804861348853,0.45098710487276,0.0244208604359238,0.338069154399178
"B30","B19",0,0.103161017916239,0.543934725550611,0.0279014036288942,0.325002852904257
"B38","B19",0.00890106128038343,0.233652858610065,0.378751569097341,0.00136939404313591,0.377325116969075
"B39","B19",0.00855871276959945,0.344402601848682,0.32876868652288,0.000456464681045304,0.317813534177793
