"sample1","sample2","Heterogeneous.Selection","Homogeneous.Selection","Dispersal.Limitation","Homogenizing.Dispersal","Drift.and.Others"
"B31","B02",0.0151774506447564,0.338925025676138,0.366712313134771,0.0163756704325003,0.262809540111834
"B32","B02",0.00410818212940774,0.336015063334474,0.442599566358553,0.0471870364030583,0.170090151774506
"B33","B02",0.00290996234166381,0.390790825059911,0.295903229487618,0.0602533378979801,0.250142645212827
"B41","B02",0.0216250142645213,0.164840807942485,0.553520483852562,0.0156909734109323,0.244322720529499
"B42","B02",0.0575145498117083,0.158963825174027,0.509414584046559,0.0205979687321694,0.253509072235536
"B43","B02",0.0480999657651489,0.183555859865343,0.524534976606185,0.0142645212826658,0.229544676480657
"B51","B02",0.00981399064247404,0.261154855643045,0.349994294191487,0.0325801666096086,0.346456692913386
"B52","B02",0.0340066187378752,0.259728403514778,0.402887139107612,0.00450758872532238,0.298870249914413
"B53","B02",0.0197991555403401,0.249058541595344,0.47164213169006,0.00924340979116741,0.250256761383088
"B61","B02",0.0645326942827799,0.28312221841835,0.300239643957549,0.0200844459659934,0.332020997375328
"B62","B02",0.0600251055574575,0.13596941686637,0.476606185096428,0.0290996234166381,0.298299669063106
"B63","B02",0.0273308227775876,0.0930046787629807,0.63859408878238,0.0324660504393473,0.208604359237704
"B11","B03",0.0352048385256191,0.226977062649777,0.399863060595686,5.7058085130663e-05,0.337897980143786
"B12","B03",0.0171744836243296,0.217676594773479,0.297672030126669,0,0.467476891475522
"B13","B03",0.0171744836243296,0.35455894100194,0.170033093689376,0.00456464681045304,0.453668834873902
"B21","B03",0.00393700787401575,0.206436152002739,0.330993951842976,0.00114116170261326,0.457491726577656
"B22","B03",0.00159762638365856,0.220073034348967,0.357297729088212,0,0.421031610179162
"B23","B03",0.00730343489672487,0.204096770512382,0.400490699532124,0,0.38810909505877
"B31","B03",0,0.434782608695652,0.207577313705352,0.0199703297957321,0.337669747803264
"B32","B03",0.0104416295789113,0.495150062763894,0.244094488188976,0.00604815702385028,0.244265662444368
"B33","B03",0,0.447335387424398,0.146981627296588,0.0102704553235193,0.395412529955495
"B41","B03",0.0151203925596257,0.237475750313819,0.384514435695538,0.000798813191829282,0.362090608239187
"B42","B03",0.0109551523450873,0.247575031381947,0.408421773365286,0.00553463425767431,0.327513408650006
"B43","B03",0.0037087755334931,0.273821750542052,0.390049069953212,0.00621933127924227,0.326201072692
"B51","B03",0.00701814447107155,0.334417436950816,0.195652173913043,0,0.462912244665069
"B52","B03",0.00410818212940774,0.238331621590779,0.313990642474039,0.0072463768115942,0.43632317699418
"B53","B03",0.00342348510783978,0.300696108638594,0.330138080566016,0.0219103046901746,0.343832020997375
"B61","B03",0.0232796987333105,0.236733995207121,0.303149606299213,0.00730343489672487,0.429533264863631
"B62","B03",0.0438776674654799,0.249515006276389,0.233424626269542,0.00576286659819697,0.467419833390391
"B63","B03",0.00330936893757846,0.170033093689376,0.508216364258815,0.000969987447221271,0.317471185667009
"B12","B11",0.0387994978888508,0.155996804747233,0.492411274677622,0.000228232340522652,0.312564190345772
"B13","B11",0.046388223211229,0.258758416067557,0.464795161474381,0.00924340979116741,0.220814789455666
"B21","B11",0.0555745749172658,0.100593404085359,0.535204838525619,0.000114116170261326,0.308513066301495
"B22","B11",0.0816501198219788,0.131062421545133,0.508273422343946,0.00125527787287459,0.277758758416068
"B23","B11",0.047586442998973,0.139278785803948,0.589352961314618,0.00057058085130663,0.223211229031154
"B31","B11",0.0321237019285633,0.274734679904142,0.378865685267602,0.0103845714937807,0.303891361405911
"B32","B11",0.0195138651146868,0.241926280954011,0.517573890220244,0.00861577085473011,0.212370192856328
"B33","B11",0.00747460915211686,0.346285518657994,0.365514093347027,0.00057058085130663,0.280155197991555
"B41","B11",0,0.211114914983453,0.540340066187379,0.0015405682985279,0.24700445053064
"B42","B11",0.00290996234166381,0.15057628665982,0.625413671117197,0.000684697021567956,0.220415382859751
"B43","B11",0.0188291680931188,0.155597398151318,0.576914298756134,0.00365171744836243,0.245007417551067
"B51","B11",0.0103845714937807,0.246490927764464,0.448704781467534,0.000171174255391989,0.294248545018829
"B52","B11",0.0688691087527103,0.189946365399977,0.438833732739929,0.00599109893871962,0.296359694168664
"B53","B11",0.0256761383087984,0.193426908592948,0.476206778500514,0.0188862261782495,0.285803948419491
"B61","B11",0.0443911902316558,0.122960173456579,0.45264178934155,0.00547757617254365,0.374529270797672
"B62","B11",0.0671573661987904,0.063163300239644,0.418349880178021,0.0364601163984937,0.414869336985051
"B63","B11",0.00610521510898094,0.0581992468332763,0.534063676823006,0.00467876298071437,0.396953098254023
"B13","B12",0.0240214538400091,0.318098824603446,0.167465479858496,0.00313819468218647,0.487276047015862
"B21","B12",0.0263037772452357,0.128951272395298,0.388793792080338,0.000513522766175967,0.455437635512952
"B22","B12",0.00696108638594089,0.166723724751797,0.421259842519685,0.000798813191829282,0.404256533150747
"B23","B12",0.0145498117083191,0.223040054775762,0.350108410361748,0.00142645212826658,0.410875271025904
"B31","B12",0.0178591806458975,0.285861006504622,0.257788428620336,0,0.438491384229145
"B32","B12",0.0188862261782495,0.291452698847427,0.35107839780897,0.00171174255391989,0.336870934611434
"B33","B12",0.0078740157480315,0.374985735478717,0.181958233481684,0,0.435182015291567
"B41","B12",0.00405112404427707,0.215793677964168,0.458290539769485,5.7058085130663e-05,0.321807600136939
"B42","B12",0.0037087755334931,0.172885997945909,0.502453497660619,0.000285290425653315,0.320666438434326
"B43","B12",0.0057058085130663,0.218532466050439,0.455951158279128,0.005249343832021,0.314561223325345
"B51","B12",0.00736049298185553,0.22634942371334,0.253223781809882,0.000228232340522652,0.512838069154399
"B52","B12",0.0252196736277531,0.220586557115143,0.337840922058656,0.000228232340522652,0.416124614857925
"B53","B12",0.0122674883030925,0.189718133059455,0.395355471870364,0.000741755106698619,0.40191715166039
"B61","B12",0.0213967819239986,0.113887937920803,0.298299669063106,0,0.566415611092092
"B62","B12",0.0435923770398265,0.152402145384001,0.320894670774849,0,0.483110806801324
"B63","B12",0.00256761383087984,0.0476435010841036,0.505306401917152,0.00610521510898094,0.438377268058884
"B21","B13",0.0165468446878923,0.222298299669063,0.187664041994751,0.00325231085244779,0.570238502795846
"B22","B13",0.020997375328084,0.451671801894328,0.201300924340979,0.00142645212826658,0.324603446308342
"B23","B13",0.0229373502225265,0.381490357183613,0.311594202898551,0.000342348510783978,0.283635741184526
"B31","B13",0.0163186123473696,0.441686636996462,0.119365514093347,0.0171744836243296,0.405454752938491
"B32","B13",0.0129521853246605,0.447734794020313,0.216364258815474,0.00650462170489558,0.316444140134657
"B33","B13",0.0169462512838069,0.469473924455095,0.0622503708775533,0.00268173000114116,0.448647723382403
"B41","B13",0.0321237019285633,0.476549127011298,0.256704325002853,0.00205409106470387,0.232568754992582
"B42","B13",0.0145498117083191,0.483909619993153,0.252881433299098,0.00102704553235193,0.247632089467077
"B43","B13",0.0167180189432843,0.2977290882118,0.308456008216364,0.00342348510783978,0.373673399520712
"B51","B13",0.026760241926281,0.415896382517403,0.0921488074860208,0,0.465194568070296
