,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64,B65,B66,B67,B68,B69,B70
34ab581e8f0bcf2c604510ddfbef24c6,0,0,0,0,0,6,3,2,13,0,104,0,0,7,0,17,19,0,0,6,5,0,0,179,0,0,0,36,83,75,13,7,0,0,8,10,2,8,16,0,80,91,72,69,68,0,0,0,0,0,0,0,58,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
b64ae6111b87d93072d5a152d9fc4dfa,23,33,7,0,7,24,0,0,20,35,13,18,7,29,11,1,3,38,62,27,52,77,52,51,13,4,19,2,2,6,14,7,52,50,36,52,0,32,93,10,2,4,4,7,4,43,22,77,43,25,199,29,3,43,18,24,8,10,9,0,38,39,1,0,0,3,2,0,2,1
70dee2f61342803ac2d9a34cf96bbc60,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,541,0,0,0,0,0,39,0,0,0,0,0,0,0,0
39a69a6a7ea2fc5594efb4a9d1065cb3,0,0,0,0,0,0,0,0,0,0,9,123,0,3,8,5,2,14,0,0,33,24,234,38,61,53,9,10,7,7,0,0,0,0,5,0,0,0,0,0,14,13,108,0,13,90,14,40,176,9,112,92,9,78,0,0,0,7,0,6,16,42,1,33,0,0,10,9,5,0
6674c4fa9d4ce52b110e0691c7254ade,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,89,113,8,0,3,15,12,0,0,4,14,0,125,114,84,111,91,0,0,0,0,0,0,0,33,0,6,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0
d5e373cee73d0964605495e0f4b23f43,59,61,30,0,10,41,34,0,95,133,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,1,60,40,49,47,22,57,1,52,25,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,36,47,12,0,0,0,0,0,0,0,0,0,0,0,0,0
922bc14673a7b3d499dc9b1a25a08082,12,24,33,0,3,19,10,0,30,5,3,72,16,8,8,5,5,25,55,36,44,46,51,26,20,72,9,0,5,1,14,30,42,7,22,38,0,35,43,0,6,0,0,2,6,27,91,19,59,35,40,37,18,36,19,17,5,5,10,3,39,32,3,9,0,0,0,0,0,0
67b89661883d562025f0c5d540ea6741,9,0,10,2,0,7,30,0,7,1,0,0,0,0,0,0,4,0,13,0,0,7,0,0,0,0,0,33,87,85,8,0,0,2,19,0,0,22,21,0,102,92,83,93,71,0,0,0,0,3,0,0,38,0,0,0,0,0,4,96,0,0,0,0,0,2,0,0,0,0
be2377f71f6559a359d8cb5d414d3bed,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,27,64,81,0,0,0,0,10,0,0,0,7,13,76,82,61,79,66,0,0,0,0,0,0,0,173,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
7117a7c653f5020da69487b64c9acc59,0,20,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,23,0,121,0,0,0,0,0,0,171,0,0,0,0,0,0,0
